At what kind of facilities would you like to see the meetup?,At what skill level would you like to see events hosted?,How are you using Python?,How frequently would you be interested in attending MadPy meetings?,How would you prefer to communicate with the group online?,Is alcohol okay at meetups?,Is food okay at meetups?,What day(s) of the week work best for you?,What do you want to get out of a Madison Python meetup?,What format(s) of events would you like to see at MadPy?,What kind(s) of events would you like to see at MadPy?,What other tech meetups do you go to?,What time(s) of day work best for you?,Where in town works best for you to attend the meetup?
"Libraries, Bars, Restaurants, Offices",Intermediate,Science (scientific & numeric computing/data science),Monthly,"Email, Slack channel, IRC channel",Yes,Yes,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,"Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science)","Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)","After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Near West, Downtown"
"Libraries, Restaurants, Offices","Intermediate, Expert",Science (scientific & numeric computing/data science),"A few times a year, Monthly","Email, Slack channel, IRC channel",I don't care,Yes,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","New ideas for using python well, interesting ideas that involve using python","Presentations, Hack Nights, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), SysAdmin/DevOps",,After work hours (6pm - 9pm),"Near West, Downtown"
"Libraries, Offices","Introductory, Intermediate","Software (engineering/developing), SysAdmin/DevOps",A few times a year,Email,Yes,Yes,Monday,,"Presentations, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development), SysAdmin/DevOps",,"Work hours (8am - 6pm), After work hours (6pm - 9pm)","Near West, Downtown"
"Libraries, Bars, Offices, UW Facilities? If available to non-students","Intermediate, Expert",Science (scientific & numeric computing/data science),"A few times a year, Monthly",Email,Yes,Yes,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Learn some new concepts/features/libraries. Network. Collaborate on some toy projects.,"Presentations, Hack Nights, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development), SysAdmin/DevOps",,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Near West, Downtown, East"
"Libraries, Bars, Offices","Introductory, Intermediate, Expert","Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development)",Weekly,"Email, IRC channel",Yes,Yes,"Monday, Wednesday","different ways of analyzing data, sharing code","Presentations, Hack Nights","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies)",Big Data Madison (https://www.meetup.com/BigDataMadison),After work hours (6pm - 9pm),"Near West, Downtown, East"
"Libraries, Offices","Introductory, Intermediate, Expert",Not really using it though interested,A few times a year,Email,Yes,Yes,,With the old python meetup I went to a couple of hack nights and presentations. If I'm working with it and need help or a presentation seems interesting I'll show up. I'm mostly interested in data science.,"Presentations, Hack Nights","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development)","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",After work hours (6pm - 9pm),Downtown
"Libraries, Offices",Intermediate,SysAdmin/DevOps,Monthly,"Email, Slack channel",Yes,Yes,Tuesday,"Info on new versions/features, trends/gossip,  useful repos, conference updates",Presentations,"Software (engineering/developing), Web (django/flask/other web development), SysAdmin/DevOps","MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison DevOps (https://www.meetup.com/Madison-Devops), Containers Madison (https://www.meetup.com/Containers-Madison), Elastic Madison (https://www.meetup.com/Madison-Milwaukee-Elastic-Fantastics), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",After work hours (6pm - 9pm),"Far West, Near West, Downtown, East"
"Libraries, Bars, Restaurants, Offices, Depends on the purpose of the specific meetup. more quiet for presentations/hacks, more load for more social",,"Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)",,,"I'm ambivalent on this. Again, I would defer to the purpose of the specific meetup","If you are going to have it after work, i think you need that.","Wednesday, Thursday",,"Presentations, Hack Nights, Python Schooling, Social",,,After work hours (6pm - 9pm),Downtown
"Bars, Restaurants, Offices","Introductory, Beginner, Intermediate, Expert","Software (engineering/developing), Web (django/flask/other web development), SysAdmin/DevOps",,,Yes,Yes,"Tuesday, Wednesday, Thursday, Friday, Saturday",,"Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Web (django/flask/other web development), SysAdmin/DevOps","MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113), Ionic Madison (https://www.meetup.com/Ionic-Madison), Containers Madison (https://www.meetup.com/Containers-Madison)","After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Downtown, East"
"Libraries, Bars","Introductory, Intermediate, Expert",Science (scientific & numeric computing/data science),"Monthly, Weekly",Email,Yes,Yes,"Monday, Friday, Saturday, Sunday","Improved and new skills, knowledge sharing and social interaction","Presentations, Hack Nights","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies)",,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",Downtown
"Libraries, Offices","Intermediate, Expert","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development), SysAdmin/DevOps","A few times a year, Monthly","Email, Slack channel",Yes,Yes,"Monday, Wednesday, Saturday, Sunday",Best practices.  Improve my python skills.  Hear about careers using python.,"Presentations, Hack Nights","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development), SysAdmin/DevOps","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison)",After work hours (6pm - 9pm),"Downtown, East"
"Libraries, Bars, Restaurants, Offices, Campus","Intermediate, Expert","Software (engineering/developing), Science (scientific & numeric computing/data science), SysAdmin/DevOps","A few times a year, Monthly",Email,Yes,Yes,"Monday, Wednesday",not sure yet,"Presentations, Hack Nights, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), SysAdmin/DevOps","MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Ionic Madison (https://www.meetup.com/Ionic-Madison), Madison PHP (https://www.meetup.com/madisonphp)",After work hours (6pm - 9pm),"Near West, Downtown"
"Libraries, Offices","Intermediate, Expert","Software (engineering/developing), Science (scientific & numeric computing/data science)",A few times a year,Email,Yes,Yes,"Friday, Saturday, Sunday","Growth, learning, networking","Presentations, Hack Nights, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies)",,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",Downtown
"Libraries, Offices","Intermediate, Expert",Science (scientific & numeric computing/data science),Monthly,Email,Yes,Yes,,,Presentations,"Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development), SysAdmin/DevOps",,After work hours (6pm - 9pm),"Near West, Downtown"
"Libraries, Bars",,"Science (scientific & numeric computing/data science), Web (django/flask/other web development)",,,Yes,Yes,"Monday, Wednesday, Thursday",,"Presentations, Hack Nights, Python Schooling",,,After work hours (6pm - 9pm),Downtown
"Libraries, Offices","Introductory, Intermediate",Science (scientific & numeric computing/data science),A few times a year,"Email, Slack channel",Yes,Yes,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",I'd like to learn to use python more effectively. In general I'd like to become a more efficient programmer. ,"Presentations, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (grade school/high school/undergraduate), Web (django/flask/other web development), SysAdmin/DevOps",,"Work hours (8am - 6pm), After work hours (6pm - 9pm)","Downtown, East"
"Libraries, Offices","Introductory, Intermediate",Software (engineering/developing),"A few times a year, Monthly",Email,Yes,Yes,"Monday, Tuesday",Colleagues - I work alone,"Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Education (teaching & undergraduate studies)",,"Work hours (8am - 6pm), After work hours (6pm - 9pm)","Far West, Near West, Downtown, East"
"Libraries, Bars, Restaurants, Offices, coffee shops, maker spaces; just about anywhere as long as it's comfortable, not too noisy/many distractions, the venue has sufficient seating/space, and has or supports appropriate presentation equipment","Introductory, Intermediate, Expert","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development), SysAdmin/DevOps, data conversion scripts, GUIs, and miscellaneous utilities","Monthly, Weekly","Email, madpy.com website could be useful to announce upcoming/past meetings and post notes, slides, code, etc. from meetings and presentations; wiki?",Yes,Yes,"Wednesday, Thursday, Saturday, Sunday","Exposure to other python developers' methodologies, i.e. see how 'the pros' do it. Code reviews, feedback, and suggestions, perhaps. Learn about new and existing libraries, tools, frameworks, ecosystems. Refine my understanding of the basics, and expand from there.","Presentations, Hack Nights, Python Schooling, q&a sessiosn, demos, etc.","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development), SysAdmin/DevOps, yes ;p","Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113), Madison DevOps (https://www.meetup.com/Madison-Devops), Containers Madison (https://www.meetup.com/Containers-Madison), MAST (Madison Area Science & Technology), Madison diyBio","After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Near West, Downtown, East"
"Libraries, Offices",Introductory,Science (scientific & numeric computing/data science),Monthly,Email,Yes,Yes,,I am a beginner. I just want to see what people do with Python.,"Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science)","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",After work hours (6pm - 9pm),"Far West, Near West, Downtown"
"Libraries, Restaurants, Offices","Intermediate, Expert","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)",Weekly,"Email, Slack channel",Yes,Yes,"Monday, Friday, Saturday, Sunday",Friends and new ideas,"Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science)","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison)",After work hours (6pm - 9pm),"Downtown, East"
"Libraries, Restaurants, Offices","Introductory, Intermediate, Expert","Software (engineering/developing), Science (scientific & numeric computing/data science)",Monthly,Email,Yes,Yes,"Monday, Tuesday, Wednesday, Thursday, Friday","Education, exposure to advanced topics","Presentations, Hack Nights, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science)",Big Data Madison (https://www.meetup.com/BigDataMadison),After work hours (6pm - 9pm),"Downtown, East"
"Libraries, Offices",Intermediate,"Software (engineering/developing), Science (scientific & numeric computing/data science)",Monthly,"Email, Slack channel",Yes,Yes,"Tuesday, Wednesday",Exposure and development in new python tech/ideas.,"Presentations, Hack Nights, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)",Big Data Madison (https://www.meetup.com/BigDataMadison),"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Far West, Near West, Downtown"
Libraries,"Intermediate, Expert",Science (scientific & numeric computing/data science),Monthly,Email,Yes,Yes,"Monday, Tuesday, Wednesday, Thursday",,"Presentations, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development)","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison)","Work hours (8am - 6pm), After work hours (6pm - 9pm)","Far West, Near West, Downtown"
"Libraries, Offices","Intermediate, Expert",Science (scientific & numeric computing/data science),Weekly,Email,No,Yes,"Tuesday, Wednesday, Thursday, Friday",Getting hands on real life situations,"Presentations, Hack Nights, Python Schooling",Science (scientific & numeric computing/data science),"Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison)","After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",Downtown
"Libraries, Bars, Offices","Introductory, Intermediate, Expert",Science (scientific & numeric computing/data science),Monthly,Email,Yes,Yes,"Tuesday, Wednesday, Thursday, Saturday","Get to know folks, learn what other people are doing, and troubleshoot  problems together","Presentations, Hack Nights","Software (engineering/developing), Science (scientific & numeric computing/data science), SysAdmin/DevOps",,After work hours (6pm - 9pm),"Downtown, East"
"Libraries, Offices","Introductory, Intermediate",Science (scientific & numeric computing/data science),"A few times a year, Monthly",Email,Yes,Yes,"Thursday, Friday, Saturday, Sunday","More proficiency and confidence with my Python skills, e.g. better at scripting for bioinformatics applications","Presentations, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies)",Big Data Madison (https://www.meetup.com/BigDataMadison),After work hours (6pm - 9pm),"Downtown, East"
"Libraries, Offices","Introductory, Intermediate, Expert",Science (scientific & numeric computing/data science),Monthly,Email,depends on location,Yes,Wednesday,,"Presentations, Python Schooling",Science (scientific & numeric computing/data science),"Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",After work hours (6pm - 9pm),Near West
"Libraries, Bars, Offices",Intermediate,Science (scientific & numeric computing/data science),Monthly,"Email, Slack channel",Yes,Yes,"Tuesday, Wednesday, Thursday, Friday, Saturday","I want to read others' code, and hack at fun little problems that aren't ready for primetime.","Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development)",,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Near West, Downtown, East"
"Libraries, Offices","Intermediate, Expert",Science (scientific & numeric computing/data science),Monthly,Email,Yes,Yes,Wednesday,Expertise in Python data science and latest developments ,"Presentations, Python Schooling","Science (scientific & numeric computing/data science), Web (django/flask/other web development)","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",After work hours (6pm - 9pm),"Far West, Near West"
"Libraries, Bars","Introductory, Intermediate",Science (scientific & numeric computing/data science),Monthly,Slack channel,Yes,Yes,"Monday, Tuesday, Wednesday, Thursday","Learn ways python could make my work more efficient, from stimuli creation to data collection and visualization to writing","Presentations, Python Schooling",Science (scientific & numeric computing/data science),,"Work hours (8am - 6pm), After work hours (6pm - 9pm)","Far West, Near West, Downtown"
"Libraries, Bars, Offices","Introductory, Intermediate",Web (django/flask/other web development),A few times a year,"Email, Slack channel",Yes,Yes,"Wednesday, Thursday",Learn more,"Presentations, Python Schooling","Education (teaching & undergraduate studies), Web (django/flask/other web development)","MadJS (https://www.meetup.com/MadisonJS), Ionic Madison (https://www.meetup.com/Ionic-Madison)",After work hours (6pm - 9pm),Downtown
Offices,"Intermediate, Expert","Software (engineering/developing), Web (django/flask/other web development), SysAdmin/DevOps",Monthly,Email,Either works for me,I'm indifferent,"Monday, Tuesday, Wednesday, Thursday, Friday",Learn more about python.  Meet others in the area using python,"Presentations, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development), SysAdmin/DevOps",,Work hours (8am - 6pm),"Far West, Near West, Downtown"
"Libraries, Bars","Intermediate, Expert","Software (engineering/developing), tinkering, side projects",Monthly,"Email, IRC channel",Yes,Yes,"Monday, Tuesday, Wednesday, Thursday",,"Presentations, Hack Nights, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), SysAdmin/DevOps","Big Data Madison (https://www.meetup.com/BigDataMadison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",After work hours (6pm - 9pm),"Downtown, East"
